2016-04-11,13.260000,13.490000,13.000000,13.020000,12.536052,366900,EVTC,3yr
,EVTC,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-09-19,34.779999,34.970001,33.099998,33.950001,33.950001,9968400,FEYE,1yr
,FEYE,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-09-19,14.080000,14.171000,13.380000,13.580000,13.580000,4978100,FEYE,3yr
,FEYE,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-06-11,17.080000,17.480000,17.080000,17.370001,17.370001,258800,GIMO,1yr
,GIMO,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-06-13,33.419998,33.730000,32.849998,32.919998,32.919998,316200,GIMO,3yr
,GIMO,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-06-25,35.810001,36.400002,35.630001,36.119999,36.119999,137400,LXFT,1yr
,LXFT,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-06-27,54.049999,54.840000,51.299999,52.660000,52.660000,785800,LXFT,3yr
,LXFT,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-03-21,76.930000,77.980003,74.339996,75.599998,75.599998,28500,MRIN,1yr
,MRIN,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-03-21,21.420000,21.910000,21.000000,21.070000,21.070000,18600,MRIN,3yr
,MRIN,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-08-08,9.530000,9.640000,9.200000,9.470000,8.670406,224000,MIXT,1yr
,MIXT,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-08-08,5.300000,5.380000,5.270000,5.320000,5.146722,6800,MIXT,3yr
,MIXT,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-03-19,11.410000,11.600000,11.230000,11.480000,11.480000,59700,MODN,1yr
,MODN,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-03-21,10.890000,10.900000,10.670000,10.680000,10.680000,37500,MODN,3yr
,MODN,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-03-04,24.160000,24.639999,24.000000,24.639999,24.639999,2300,IPDN,1yr
,IPDN,1yr
